Stop Loss,Take Profit,Final Account Balance,Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Exposure Time (%),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor
0.05,0.1,11391.080000000076,127.82160000000154,11.469324958031969,63.7134778510839,1.4107791387378992,7.704421954833215,13.255619042127773,161.49495875937063,-0.791489721920405,-0.18891188089700572,42.895833333333336,4.393229166666666,5.675191963512499,983,835,148,84.94404883011191,7.92034823284815
0.05,0.15000000000000002,15126.080000000215,202.5216000000043,15.716808412405436,63.7134778510839,1.838703604748061,7.972631062081064,17.877245285639095,280.03539823010965,-0.7231999999999607,-0.17857500942679486,41.895833333333336,3.6392857142857142,5.675191963512499,983,813,170,82.706002034588,10.545701357466434
0.05,0.20000000000000004,18616.080000000464,272.32160000000925,18.92849436210411,63.7134778510839,2.2163414446010705,7.854275284906122,19.786354910827473,399.1593899294498,-0.682237739786458,-0.15721962007855264,34.958333333333336,3.4809472934472936,5.675191963512499,983,790,193,80.36622583926754,12.306031619503575
0.05,0.25000000000000006,21786.079999999878,335.7215999999976,21.420301946079444,63.7134778510839,2.5593910352572014,7.615902309974016,22.73925699585318,584.0892686222589,-0.5747778944678998,-0.13044152523494087,34.916666666666664,3.541824494949495,5.675191963512499,983,764,219,77.72126144455747,13.283456269758007
0.05,0.30000000000000004,24591.07999999978,391.8215999999956,23.375059635967755,63.7134778510839,2.8751902395389783,7.3385775602586385,24.368440624517337,360.86267024616143,-1.0857914445201984,-0.1284432798316963,27.895833333333332,3.839673913043478,5.675191963512499,983,735,248,74.77110885045778,13.659661910670158
0.05,0.3500000000000001,26586.07999999983,431.72159999999667,24.65067463912709,63.7134778510839,3.154172521450569,7.018701162786145,26.665008660560275,406.60425870770445,-1.0617734338841451,-0.1301067498096631,27.041666666666668,3.880042462845011,5.675191963512499,983,693,290,70.49847405900304,12.928647214854326
0.05,0.40000000000000013,28656.08000000093,473.12160000001853,25.889232530562523,63.7134778510839,3.388977001594959,6.826818169348122,28.77674624177468,458.10605486157357,-1.0327774430813454,-0.11863858212435115,27.041666666666668,3.7244585687382297,5.675191963512499,983,662,321,67.34486266531027,12.810088665229415
0.1,0.1,10671.080000000025,113.4216000000005,10.513682096393072,63.7134778510839,1.7160736134367645,5.84205401450959,5.502806107014407,59.09481813435423,-1.9193154929782903,-0.48896355946970926,136.02083333333334,10.980225988700568,5.675191963512499,983,836,147,85.04577822990844,4.432275401263541
0.1,0.15000000000000002,14301.080000000215,186.0216000000043,14.864138944471383,63.7134778510839,2.1219039879299193,6.574761836096801,9.18983254380074,122.12552521009002,-1.5231999999999606,-0.3823212675253176,76.04166666666667,5.288194444444445,5.675191963512499,983,814,169,82.80773143438454,5.896439175388037
0.1,0.20000000000000004,17741.080000000366,254.82160000000732,18.175867161793512,63.7134778510839,2.4926781507482887,6.741801024650923,10.154012995072417,164.2721051378736,-1.5512165001242024,-0.32479800942311,41.979166666666664,4.6923076923076925,5.675191963512499,983,793,190,80.67141403865718,6.966042330024443
0.1,0.25000000000000006,20901.079999999914,318.0215999999983,20.758112207797573,63.7134778510839,2.823289808676043,6.721979659350533,11.884715205352718,224.42135120620733,-1.4170737244505194,-0.2891268191548054,41.895833333333336,4.0037262872628725,5.675191963512499,983,770,213,78.33163784333672,7.641722219437682
0.1,0.30000000000000004,23511.07999999979,370.2215999999958,22.64653543489461,63.7134778510839,3.150578144220015,6.519927380960875,12.758837685953177,183.1990863288266,-2.0208703406712405,-0.2626398786852903,34.958333333333336,4.5390625,5.675191963512499,983,739,244,75.17802644964394,7.7495624525989975
0.1,0.3500000000000001,25406.079999999834,408.12159999999665,23.906655917149465,63.7134778510839,3.4252816549504788,6.2984846640985594,13.95942164539313,206.49210091957585,-1.9764513905495644,-0.2650301216518064,34.958333333333336,4.113194444444445,5.675191963512499,983,699,284,71.1088504577823,7.392561776352081
0.1,0.40000000000000013,27501.080000000846,450.02160000001686,25.20811976759756,63.7134778510839,3.647857833747672,6.203153100029204,15.111613253036964,234.29790056371502,-1.9207239967463468,-0.23347169069994814,34.916666666666664,3.9490877712031556,5.675191963512499,983,671,312,68.26042726347914,7.416267451410042
0.15000000000000002,0.1,9936.079999999982,98.72159999999963,9.4785460145258,63.7134778510839,2.1329752129440873,4.268555731068586,3.6259473245831484,24.982075818428832,-3.9516972375519916,-1.3534451456121566,277.1041666666667,18.08478682170543,5.675191963512499,983,836,147,85.04577822990844,3.0676585905296934
0.15000000000000002,0.15000000000000002,13456.080000000213,169.12160000000424,13.945325378475882,63.7134778510839,2.5015904372548907,5.269593574120041,4.878585895332006,64.76703218563932,-2.611229730509456,-0.7605530117669803,131.04166666666666,12.137358757062149,5.675191963512499,983,814,169,82.80773143438454,4.081033025330127
0.15000000000000002,0.20000000000000004,16931.080000000267,238.62160000000534,17.449854284012044,63.7134778510839,2.854825192175507,5.683152269004268,6.676274058339028,88.02766536273147,-2.7107568855396598,-0.6131235759948453,102.91666666666667,6.326550387596897,5.675191963512499,983,797,186,81.07833163784333,4.949851687059729
0.15000000000000002,0.25000000000000006,20156.079999999805,303.1215999999961,20.18152855867612,63.7134778510839,3.1688525997846875,5.849365431201358,7.777636273400109,130.9307005176481,-2.3151300558354415,-0.4644581920633196,55.854166666666664,5.203855140186914,5.675191963512499,983,778,205,79.14547304170905,5.5524690616364
