Short EMA,Long EMA,Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Profit Factor,Total Trades,Winning Trades,Losing Trades,Win Rate (%),Exposure Time (%)
10,20,222.09200000000146,8.222930077295176,159.97451958806667,12.891263504569835,0.4162672726212122,0.2664396201566769,8.166701863762668,-27.194821569949703,-9.116896442223439,1.3664533757495114,335,125,210,37.3134328358209,61.32153019285489
10,30,200.0560000000012,7.706011074075247,159.97451958806667,14.066572909769809,0.3853989632032811,0.22362931757382815,7.40782039998043,-27.006054304519818,-9.104870794504867,1.3639103444938827,280,104,176,37.142857142857146,62.66835282959215
10,40,160.72220000000104,6.68837992978677,159.97451958806667,14.031817654821868,0.3547370450908138,0.1796157468128144,4.164706146825098,-38.591486249882294,-11.29742711738239,1.3051085235204818,236,89,147,37.71186440677966,63.66108125197597
10,50,162.76660000000092,6.7446936350139985,159.97451958806667,14.599886199145415,0.355353531593166,0.18036039296356532,4.121796179736503,-39.489240346281804,-11.333443356379703,1.3309278534965567,208,79,129,37.980769230769226,64.43882390135947
10,60,160.5620000000008,6.683949786514498,159.97451958806667,15.789361489472062,0.3415389779264145,0.17787558164442638,4.159136575253227,-38.6046471653134,-12.161343005788332,1.3493700059924805,185,64,121,34.5945945945946,65.08378122036042
10,70,172.46020000000078,7.006267472405203,159.97451958806667,16.098753201550252,0.35648843022306237,0.18270137728810223,4.392777773355689,-39.2599418632226,-13.690190934525868,1.4022143921965904,176,60,116,34.090909090909086,65.84255453683213
10,80,194.1316000000007,7.560998953670706,159.97451958806667,16.714928894321048,0.37346923614715605,0.19439629246092177,4.709577689529007,-41.22059615485721,-14.69938494620879,1.498405925469504,158,58,100,36.708860759493675,66.26620297186216
10,90,183.62940000000063,7.297108828661303,159.97451958806667,15.828616189743519,0.38008093923330355,0.18329412722127764,5.0426566741070635,-36.41520965385118,-14.513444504014242,1.4790663771161885,147,56,91,38.095238095238095,66.61397407524503
10,100,178.2278000000006,7.15781319067792,159.97451958806667,16.318112165986427,0.3710855531739735,0.17696637226264142,4.8544283408114905,-36.71447748061868,-15.392304556392244,1.4806473865975838,139,53,86,38.1294964028777,66.9427758457161
10,110,176.10220000000058,7.1023061174265045,159.97451958806667,17.363750308077364,0.35877072522819364,0.19298426251170908,4.160461802125376,-42.32756082751165,-16.360360206860364,1.4817029038034075,136,49,87,36.029411764705884,67.38539361365793
10,120,148.3282000000006,6.3379016972516355,159.97451958806667,19.313755415911867,0.31480739656212653,0.17204780617807955,3.249011496417482,-45.65333184063968,-19.362497891257092,1.3911800526080647,141,48,93,34.04255319148936,67.714195384129
10,130,140.8274000000006,6.117784227975576,159.97451958806667,19.484046505981997,0.30783683689890073,0.18880764720734028,2.9151564299711996,-48.30869402140176,-19.210390385238203,1.3843213218081196,137,44,93,32.11678832116788,68.201074928865
10,140,145.15120000000056,6.245437183000302,159.97451958806667,19.221251138782602,0.3177432743871304,0.2105284589079536,3.046842337189754,-47.63987890948119,-18.739572628212102,1.4097628617612965,131,42,89,32.06106870229007,68.68163136263041
10,150,181.12360000000052,7.232800051344634,159.97451958806667,20.555701452267094,0.34064706729519095,0.2377399612362319,4.323070303022526,-41.896982307543276,-19.17009832984429,1.5883329706131712,118,38,80,32.20338983050847,68.95352513436612
10,160,174.0978000000005,7.049597773716143,159.97451958806667,19.760216463473835,0.3443544797412406,0.23527143781084184,4.43436721899965,-39.26102449387925,-18.03045867398348,1.5669826307675183,114,40,74,35.08771929824561,69.2443882390136
10,170,182.34620000000047,7.264243302502749,159.97451958806667,20.299797376437553,0.3501265973770915,0.25676291391941114,4.4395548575620145,-41.07308184049246,-18.059204389017545,1.6162193252570376,106,37,69,34.90566037735849,69.59848245336705
10,180,190.99520000000044,7.483122730702463,159.97451958806667,18.719948250301734,0.37645145100700284,0.28558618880212483,5.187882109397226,-36.815639980337174,-16.61932200748498,1.692544552401922,101,39,62,38.613861386138616,69.7439140056908
10,190,209.47040000000047,7.931045836892081,159.97451958806667,18.212018357532525,0.40325475029360397,0.28754000765752213,6.09688091220542,-34.35697744737955,-16.33392581294757,1.7918372160890805,102,38,64,37.254901960784316,70.0158077774265
10,200,221.71920000000043,8.214462845920224,159.97451958806667,17.87078530269924,0.42420765049368275,0.2881428168442704,5.935054401386182,-37.35756827236765,-18.32852626142141,1.9062228453014978,96,36,60,37.5,70.35725576983876
10,210,228.84420000000043,8.374728705419777,159.97451958806667,19.544849478516294,0.40833788615360256,0.2897665468448766,5.6206084977257955,-40.71520015894989,-18.710243080193994,2.0426273873742544,96,36,60,37.5,70.62914954157445
10,220,228.36760000000038,8.364109862117996,159.97451958806667,19.02697009769897,0.41852322152270766,0.3062236898778175,5.633646329220489,-40.53637496118769,-18.63611882309642,2.0505011288509283,88,34,54,38.63636363636363,70.86942775845716
