timeframe,short_ema,long_ema,stop_loss,take_profit,sharpe_ratio,total_return_pct,win_rate,max_drawdown
1m,35,40,3,48,1.521378073655626,380.1,0.08564231738035265,17.590206185567013
1m,5,65,2,38,1.5181158514453932,474.8,0.07522311942201446,8.688524590163935
1m,5,170,2,30,1.5174251663929161,376.79999999999995,0.08983286908077995,8.09968847352025
1m,10,30,3,23,1.51695820606559,479.5,0.14945501570293737,12.450199203187251
1m,15,30,2,33,1.5167343338069166,487.2,0.08358662613981763,5.9865607819181434
1m,10,75,2,42,1.5164701174347748,445.0,0.06979542719614922,8.296296296296296
1m,35,55,3,32,1.5111041545272017,348.20000000000005,0.11622201778595523,15.340086830680175
1m,25,160,5,35,1.509311573072361,282.5,0.15984213122841637,11.45374449339207
1m,15,40,2,49,1.5082087896371592,464.9,0.062154001006542524,12.003872216844142
1m,30,50,2,44,1.5076867208882883,400.2,0.06726825266611977,10.052910052910052
1m,20,75,2,31,1.5065113017072544,390.6,0.08740942028985507,11.473429951690822
1m,20,70,2,35,1.5058118602187567,398.20000000000005,0.07975167144221586,6.787878787878789
1m,25,175,7,48,1.5050148570353532,252.4,0.16222391469916222,14.214463840399002
1m,10,15,2,23,1.5049385797613533,572.8,0.10961737331954498,8.596620132255694
1m,10,80,3,33,1.504001966524639,398.7,0.11337130458367237,15.883859948761742
1m,10,70,2,46,1.4991848061531277,461.00000000000006,0.06493821177610855,6.994818652849741
1m,10,70,2,43,1.4989811673190985,449.0,0.06825775656324583,7.160909856781802
1m,20,25,2,29,1.4981501981312468,477.7,0.09176096181046677,5.540601166442351
1m,5,135,2,31,1.4979235508557052,401.90000000000003,0.08723218189768256,6.020309477756286
1m,20,70,2,31,1.4975592494100602,398.8,0.08722466960352424,8.629441624365482
1m,25,30,2,34,1.4963966925285674,460.79999999999995,0.08132045088566828,5.961538461538462
1m,15,80,3,49,1.4951690244122953,372.5,0.08378870673952642,10.193204530313125
1m,30,50,3,35,1.494956149534378,356.5,0.1082008107265357,12.159329140461216
1m,25,50,3,32,1.4933686013436023,383.0,0.11581843191196699,6.912144702842377
1m,25,30,2,35,1.4876066200660056,453.4,0.07938805044449039,7.784431137724551
1m,30,150,5,41,1.48079216063573,279.4,0.1411764705882353,14.878621769772904
