Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
18,4,12,2.47,"12,297.88","12,530.88",145.96,25.47,43.46,1.25,1163,400,763,34.39,1.45,0.42,9.87,5.80,-4.39,-4.39,0.96,0.30,0.42
17,4,13,2.45,"12,682.76","13,149.52",153.66,26.44,43.38,1.28,1151,378,773,32.84,1.47,0.42,10.62,5.85,-4.52,-4.52,0.96,0.31,0.42
12,3,10,2.86,"11,464.68","11,464.68",129.29,23.25,43.98,1.12,1343,435,908,32.39,1.44,0.42,10.05,6.08,-3.82,-3.82,0.96,0.27,0.42
19,8,17,1.96,"14,809.20","14,937.04",196.18,31.48,43.44,1.64,920,382,538,41.52,1.44,0.42,8.33,5.39,-5.84,-5.84,0.96,0.34,0.42
16,7,18,2.03,"14,890.80","15,386.12",197.82,31.66,43.48,1.63,955,356,599,37.28,1.46,0.42,9.38,5.25,-6.03,-6.03,0.96,0.33,0.42
16,8,17,2.02,"15,238.24","15,448.56",204.76,32.43,43.48,1.67,949,395,554,41.62,1.45,0.42,8.42,4.54,-7.14,-7.14,0.96,0.33,0.42
16,8,18,1.97,"15,384.24","15,627.08",207.68,32.75,43.48,1.73,924,373,551,40.37,1.46,0.42,8.82,4.85,-6.75,-6.75,0.96,0.34,0.42
10,3,9,3.09,"11,075.76","11,162.32",121.52,22.18,43.91,1.07,1451,494,957,34.05,1.39,0.42,8.64,5.43,-4.09,-4.09,0.96,0.25,0.42
19,4,18,2.22,"13,249.16","14,000.84",164.98,27.84,43.44,1.39,1041,276,765,26.51,1.51,0.42,13.42,4.20,-6.64,-6.64,0.96,0.32,0.42
19,4,19,2.17,"13,580.20","14,380.64",171.60,28.64,43.44,1.44,1020,263,757,25.78,1.53,0.42,14.37,4.17,-6.87,-6.87,0.96,0.32,0.42
16,5,16,2.25,"13,568.08","13,960.76",171.36,28.61,43.48,1.44,1058,346,712,32.70,1.46,0.42,10.44,6.10,-4.69,-4.69,0.96,0.31,0.42
20,4,13,2.40,"12,512.52","12,958.04",150.25,26.01,43.21,1.27,1127,370,757,32.83,1.47,0.42,10.61,5.88,-4.42,-4.42,0.96,0.31,0.42
