Time,Price,Size,Exchange
2025-01-21 23:35:07.000000,6092.75,1.0,
2025-01-21 23:35:07.000000,6092.75,1.0,
2025-01-21 23:35:07.000000,6092.75,1.0,
2025-01-21 23:35:07.000000,6092.75,2.0,
2025-01-21 23:35:07.000000,6092.75,1.0,
2025-01-21 23:35:07.000000,6092.75,2.0,
2025-01-21 23:35:07.000000,6092.75,1.0,
2025-01-21 23:35:12.000000,6092.75,1.0,
2025-01-21 23:35:13.000000,6093.0,10.0,
2025-01-21 23:35:14.000000,6093.0,2.0,
2025-01-21 23:35:14.000000,6093.0,1.0,
2025-01-21 23:35:15.000000,6093.0,1.0,
2025-01-21 23:35:16.000000,6093.0,2.0,
2025-01-21 23:35:18.000000,6093.0,1.0,
2025-01-21 23:35:19.000000,6093.0,1.0,
2025-01-21 23:35:21.000000,6092.75,10.0,
2025-01-21 23:35:21.000000,6092.5,1.0,
2025-01-21 23:35:25.000000,6092.5,1.0,
2025-01-21 23:35:27.000000,6092.5,1.0,
2025-01-21 23:35:27.000000,6092.5,1.0,
2025-01-21 23:35:27.000000,6092.5,1.0,
2025-01-21 23:35:28.000000,6092.75,1.0,
2025-01-21 23:35:29.000000,6092.75,1.0,
2025-01-21 23:35:29.000000,6092.75,1.0,
2025-01-21 23:35:30.000000,6092.75,1.0,
2025-01-21 23:35:30.000000,6092.75,2.0,
2025-01-21 23:35:32.000000,6092.75,1.0,
2025-01-21 23:35:32.000000,6092.75,2.0,
2025-01-21 23:35:37.000000,6092.5,8.0,
2025-01-21 23:35:40.000000,6092.5,2.0,
2025-01-21 23:35:40.000000,6092.5,1.0,
2025-01-21 23:35:42.000000,6092.75,6.0,
2025-01-21 23:35:53.000000,6092.75,1.0,
2025-01-21 23:35:57.000000,6092.75,1.0,
2025-01-21 23:35:57.000000,6092.75,2.0,
2025-01-21 23:36:04.000000,6093.25,4.0,
2025-01-21 23:36:04.000000,6093.25,2.0,
2025-01-21 23:36:04.000000,6093.25,1.0,
2025-01-21 23:36:04.000000,6093.25,3.0,
2025-01-21 23:36:04.000000,6093.25,2.0,
2025-01-21 23:36:07.000000,6093.25,1.0,
2025-01-21 23:36:07.000000,6093.5,12.0,
2025-01-21 23:36:07.000000,6093.5,4.0,
2025-01-21 23:36:07.000000,6093.5,1.0,
2025-01-21 23:36:07.000000,6093.5,1.0,
2025-01-21 23:36:07.000000,6093.5,1.0,
2025-01-21 23:36:07.000000,6093.5,1.0,
2025-01-21 23:36:08.000000,6093.5,1.0,
2025-01-21 23:36:10.000000,6093.5,5.0,
2025-01-21 23:36:10.000000,6093.5,1.0,
2025-01-21 23:36:12.000000,6093.5,7.0,
2025-01-21 23:36:13.000000,6093.5,2.0,
2025-01-21 23:36:16.000000,6093.5,3.0,
2025-01-21 23:36:19.000000,6093.25,1.0,
2025-01-21 23:36:19.000000,6093.25,2.0,
2025-01-21 23:36:24.000000,6093.25,3.0,
2025-01-21 23:36:24.000000,6093.0,2.0,
2025-01-21 23:36:26.000000,6093.25,1.0,
2025-01-21 23:36:28.000000,6093.5,1.0,
2025-01-21 23:36:29.000000,6093.25,1.0,
2025-01-21 23:36:29.000000,6093.25,1.0,
2025-01-21 23:36:40.000000,6093.0,3.0,
2025-01-21 23:36:51.000000,6092.75,1.0,
2025-01-21 23:36:51.000000,6092.75,2.0,
2025-01-21 23:36:51.000000,6092.75,5.0,
2025-01-21 23:36:53.000000,6092.75,5.0,
2025-01-21 23:36:58.000000,6093.0,3.0,
2025-01-21 23:37:01.000000,6093.0,1.0,
2025-01-21 23:37:01.000000,6093.0,1.0,
2025-01-21 23:37:06.000000,6093.0,1.0,
2025-01-21 23:37:06.000000,6093.0,5.0,
2025-01-21 23:37:22.000000,6092.75,1.0,
2025-01-21 23:37:22.000000,6092.75,2.0,
2025-01-21 23:37:30.000000,6092.5,1.0,
2025-01-21 23:37:30.000000,6092.5,1.0,
2025-01-21 23:37:32.000000,6092.5,1.0,
2025-01-21 23:37:40.000000,6092.75,2.0,
2025-01-21 23:37:42.000000,6092.75,1.0,
2025-01-21 23:37:42.000000,6092.75,1.0,
