short_ema,long_ema,stop_loss,take_profit,total_return_pct,sharpe_ratio,win_rate,max_drawdown_pct,best_timeframe
14,159,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
37,196,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
42,62,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
28,196,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
35,196,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
42,92,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
16,17,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
20,159,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
42,116,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
9,45,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,69,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,196,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
14,196,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
20,62,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
31,159,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
20,186,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
22,112,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
6,88,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,48,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,175,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
8,88,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,173,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
14,53,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
14,69,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
6,97,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
6,145,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,184,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
6,162,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
10,45,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,88,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
9,65,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
11,35,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
10,48,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
10,69,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
7,21,2.01,10.48,118.94240000000325,4.217416714541886,0.2808685103197148,3.0788703595538753,4h
