Breakout_Time
2018-02-06 14:05:00
2018-02-07 10:07:00
2018-02-09 14:46:00
2018-02-12 11:14:00
2018-02-12 12:54:00
2018-02-14 11:57:00
2018-02-21 09:45:00
2018-02-21 13:00:00
2018-02-23 13:48:00
2018-02-26 14:20:00
2018-03-01 09:33:00
2018-03-02 14:38:00
2018-03-05 09:57:00
2018-03-05 13:56:00
2018-03-07 14:08:00
2018-03-15 10:12:00
2018-03-21 10:51:00
2018-03-26 13:19:00
2018-03-28 11:18:00
2018-03-29 09:44:00
2018-04-03 09:59:00
2018-04-03 14:03:00
2018-04-04 10:31:00
2018-04-04 13:15:00
2018-04-05 10:12:00
2018-04-09 09:30:00
2018-04-10 09:46:00
2018-04-10 14:09:00
2018-04-11 10:53:00
2018-04-12 14:21:00
2018-04-17 14:12:00
2018-04-23 10:13:00
2018-04-25 13:49:00
2018-04-26 12:09:00
2018-05-08 10:16:00
2018-05-09 11:28:00
2018-05-16 11:05:00
2018-05-21 09:35:00
2018-05-23 13:08:00
2018-05-30 12:16:00
2018-06-06 14:57:00
2018-06-11 10:43:00
2018-06-19 13:07:00
2018-06-20 11:47:00
2018-07-02 14:39:00
2018-07-05 12:03:00
2018-07-05 14:52:00
2018-07-06 14:26:00
2018-07-09 09:57:00
2018-07-12 10:58:00
2018-07-25 14:36:00
2018-07-31 10:48:00
2018-08-02 10:48:00
2018-08-06 10:49:00
2018-08-14 09:52:00
2018-08-17 13:04:00
2018-08-22 09:45:00
2018-08-24 10:35:00
2018-08-27 10:59:00
2018-09-11 10:50:00
2018-09-18 13:28:00
2018-09-19 10:09:00
2018-09-26 11:55:00
2018-09-28 10:15:00
2018-10-02 09:52:00
2018-10-15 10:26:00
2018-10-15 12:42:00
2018-10-15 13:52:00
2018-10-16 14:39:00
2018-10-23 13:16:00
2018-10-25 12:37:00
2018-10-26 11:43:00
2018-10-30 14:28:00
2018-10-31 12:12:00
2018-11-01 09:33:00
2018-11-05 13:19:00
2018-11-07 09:37:00
2018-11-13 10:18:00
2018-11-15 12:24:00
2018-11-16 11:43:00
2018-11-21 10:11:00
2018-11-26 13:31:00
2018-11-27 15:38:00
2018-11-28 11:03:00
2018-11-28 12:36:00
2018-11-30 12:50:00
2018-12-06 14:44:00
2018-12-10 14:36:00
2018-12-19 11:01:00
2018-12-19 12:59:00
2018-12-26 10:56:00
2018-12-26 12:52:00
2018-12-27 14:43:00
2018-12-28 13:53:00
2018-12-31 15:00:00
2019-01-02 12:05:00
2019-01-04 11:18:00
2019-01-09 10:52:00
2019-01-10 13:22:00
2019-01-10 14:40:00
2019-01-14 09:33:00
2019-01-15 10:57:00
2019-01-16 13:21:00
2019-01-17 10:01:00
2019-01-17 13:46:00
2019-01-18 15:55:00
2019-01-25 11:29:00
2019-01-30 10:01:00
2019-01-30 13:18:00
2019-01-31 15:13:00
2019-02-04 10:17:00
2019-02-05 14:40:00
2019-02-08 13:29:00
2019-02-12 12:28:00
2019-02-15 14:44:00
2019-02-22 09:53:00
2019-02-25 09:52:00
2019-02-26 10:14:00
2019-02-27 12:15:00
2019-03-08 14:56:00
2019-03-11 12:15:00
2019-03-13 13:01:00
2019-03-15 10:30:00
2019-03-19 10:49:00
2019-03-20 13:06:00
2019-03-21 12:54:00
2019-03-25 10:28:00
2019-03-29 13:53:00
2019-04-01 10:12:00
2019-04-03 10:02:00
2019-04-05 14:33:00
2019-04-08 12:52:00
2019-04-10 14:01:00
2019-04-22 14:40:00
2019-04-26 10:21:00
2019-05-03 11:05:00
2019-05-06 13:18:00
2019-05-09 12:49:00
2019-05-10 13:52:00
2019-05-14 12:12:00
2019-05-15 10:25:00
2019-05-17 09:56:00
2019-05-21 09:43:00
2019-06-03 09:31:00
2019-06-04 11:50:00
2019-06-05 14:52:00
2019-06-06 13:33:00
2019-06-19 13:01:00
2019-06-28 11:20:00
2019-07-02 09:32:00
2019-07-02 14:55:00
2019-07-09 14:48:00
2019-07-12 13:37:00
2019-07-18 13:18:00
2019-07-22 14:02:00
2019-07-24 13:02:00
2019-07-26 10:17:00
2019-08-06 13:15:00
2019-08-07 14:39:00
2019-08-08 14:40:00
2019-08-16 14:53:00
2019-08-28 09:42:00
2019-08-29 12:55:00
2019-09-04 14:14:00
2019-09-10 14:59:00
2019-09-12 12:02:00
2019-09-17 14:39:00
2019-09-18 14:35:00
2019-10-03 10:08:00
2019-10-03 11:57:00
2019-10-04 10:33:00
2019-10-07 12:35:00
2019-10-10 15:33:00
2019-10-16 10:01:00
2019-10-21 11:50:00
2019-10-23 14:57:00
2019-10-29 09:42:00
2019-10-30 13:51:00
2019-11-01 12:47:00
2019-11-07 09:50:00
2019-11-08 14:50:00
2019-11-15 10:01:00
2019-11-25 14:29:00
2019-12-04 10:37:00
2019-12-06 11:54:00
2019-12-11 13:53:00
2019-12-16 10:58:00
2019-12-18 10:17:00
2019-12-20 10:04:00
2019-12-31 14:47:00
2020-01-02 14:47:00
2020-01-06 12:06:00
2020-01-08 10:29:00
2020-01-09 09:39:00
2020-01-09 13:39:00
2020-01-13 10:16:00
2020-01-16 12:40:00
2020-01-22 09:43:00
2020-01-23 13:18:00
2020-01-28 13:14:00
2020-01-29 13:04:00
2020-01-30 13:42:00
2020-02-05 13:55:00
2020-02-13 09:58:00
2020-02-19 13:44:00
2020-02-26 09:41:00
2020-02-28 14:59:00
2020-03-02 10:38:00
2020-03-02 14:35:00
2020-03-04 11:59:00
2020-03-10 14:59:00
2020-03-13 14:50:00
2020-03-17 11:05:00
2020-03-19 10:37:00
2020-03-19 13:40:00
2020-03-24 10:39:00
2020-03-24 14:55:00
2020-03-25 11:28:00
2020-03-26 10:29:00
2020-03-26 11:35:00
2020-03-26 14:31:00
2020-03-27 14:27:00
2020-03-30 13:44:00
2020-04-02 09:35:00
2020-04-02 15:02:00
2020-04-06 10:47:00
2020-04-06 14:08:00
2020-04-08 10:00:00
2020-04-08 11:35:00
2020-04-08 13:24:00
2020-04-09 11:56:00
2020-04-14 12:51:00
2020-04-14 14:47:00
2020-04-16 15:42:00
2020-04-22 10:33:00
2020-04-24 12:58:00
2020-04-27 10:20:00
2020-04-29 09:52:00
2020-04-29 15:31:00
2020-05-04 10:55:00
2020-05-04 13:32:00
2020-05-05 10:01:00
2020-05-07 10:33:00
2020-05-08 14:33:00
2020-05-14 11:55:00
2020-05-14 14:23:00
2020-05-18 09:40:00
2020-05-18 14:37:00
2020-05-20 10:13:00
2020-05-22 12:26:00
2020-05-25 11:30:00
2020-05-27 15:05:00
